Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_F_3631_3732_19-01-2012_1	-37.860036	145.059529	101	1.725	80000	8700	2000_F_3600_3700_07-02-2014_1	-37.859881	145.059476	100	1.755	80000	8700	86018	1500.4	75	12	750	80000	8700	0.0299999999999998
2000_F_2521_2622_19-01-2012_1	-37.852117	145.05317	101	1.935	82000	7900	2000_F_2500_2600_07-02-2014_1	-37.852096	145.053002	100	2.37	82000	7900	86304	1226.9	75	12	750	82000	7900	0.435
2000_F_18459_18560_19-01-2012_1	-37.931642	145.188075	101	0.735	85000	8200	2000_F_18400_18500_07-02-2014_1	-37.931655	145.188088	100	0.905	85000	8100	86111	1517.8	75	12	750	85000	8150	0.17
2000_F_27840_27941_19-01-2012_1	-37.993198	145.259619	101	0.885	63000	6100	2000_F_27800_27900_07-02-2014_1	-37.993153	145.259499	100	1	63000	6100	86224	1716.2	75	12	750	63000	6100	0.115
2000_F_26327_26428_19-01-2012_1	-37.98389	145.247207	101	1.485	84000	8100	2000_F_26300_26400_07-02-2014_1	-37.983952	145.247269	100	1.66	84000	8100	86224	1716.2	75	12	750	84000	8100	0.175
2000_F_907_1008_19-01-2012_1	-37.843691	145.039627	101	1.035	76000	9700	2000_F_900_1000_07-02-2014_1	-37.843669	145.039633	100	1.08	76000	9700	86304	1226.9	75	12	750	76000	9700	0.0450000000000002
2000_F_26529_26630_19-01-2012_1	-37.985294	145.24869	101	1.79	63000	6100	2000_F_26500_26600_07-02-2014_1	-37.985332	145.248731	100	2.095	63000	6100	86224	1716.2	75	12	750	63000	6100	0.305
2000_F_2925_3026_19-01-2012_1	-37.854129	145.056861	101	1.635	86000	9200	2000_F_2900_3000_07-02-2014_1	-37.854027	145.056776	100	2.025	86000	9200	86304	1226.9	75	12	750	86000	9200	0.39
2000_F_19367_19468_19-01-2012_1	-37.937455	145.195413	101	1.48	86000	7000	2000_F_19300_19400_07-02-2014_1	-37.937391	145.195331	100	1.67	86000	7000	86111	1517.8	75	12	750	86000	7000	0.19
2000_F_1412_1513_19-01-2012_1	-37.847568	145.04215	101	1.495	77000	9200	2000_F_1400_1500_07-02-2014_1	-37.847535	145.042098	100	1.64	83000	9900	86304	1226.9	75	12	750	80000	9550	0.145
2000_F_3227_3328_19-01-2012_1	-37.856511	145.058473	101	1.285	83000	9000	2000_F_3200_3300_07-02-2014_1	-37.856379	145.058419	100	1.33	83000	9000	86018	1500.4	75	12	750	83000	9000	0.0450000000000002
2000_F_0_100_19-01-2012_1	-37.837258	145.035213	100	2.295	69000	8800	2000_F_0_100_07-02-2014_1	-37.837256	145.035209	100	2.435	69000	8800	86304	1226.9	75	12	750	69000	8800	0.14
2000_F_34498_34599_19-01-2012_1	-38.025653	145.318507	101	1.04	42000	3700	2000_F_34500_34600_07-02-2014_1	-38.025749	145.318612	100	1.045	42000	3700	86224	1716.2	75	12	750	42000	3700	0.00499999999999989
2000_F_2118_2219_19-01-2012_1	-37.850083	145.049389	101	1.635	82000	7900	2000_F_2100_2200_07-02-2014_1	-37.850031	145.049314	100	1.685	82000	7900	86304	1226.9	75	12	750	82000	7900	0.05
2000_F_28345_28445_19-01-2012_1	-37.994932	145.264958	100	1.19	43000	4200	2000_F_28300_28400_07-02-2014_1	-37.994869	145.264766	100	1.245	43000	4200	86224	1716.2	75	12	750	43000	4200	0.0550000000000002
2000_F_3833_3934_19-01-2012_1	-37.861794	145.06003	101	0.885	80000	8700	2000_F_3800_3900_07-02-2014_1	-37.861636	145.059979	100	1.215	80000	8700	86018	1500.4	75	12	750	80000	8700	0.33
2000_F_403_504_19-01-2012_1	-37.839307	145.038821	101	1.15	69000	8800	2000_F_400_500_07-02-2014_1	-37.839297	145.038809	100	1.16	69000	8800	86304	1226.9	75	12	750	69000	8800	0.01
2000_F_26226_26327_19-01-2012_1	-37.983185	145.246469	101	1.495	84000	8100	2000_F_26200_26300_07-02-2014_1	-37.983261	145.24654	100	1.535	84000	8100	86224	1716.2	75	12	750	84000	8100	0.0399999999999998
2000_F_1613_1714_19-01-2012_1	-37.848284	145.044224	101	1.72	77000	9200	2000_F_1600_1700_07-02-2014_1	-37.848273	145.044151	100	1.82	77000	9200	86304	1226.9	75	12	750	77000	9200	0.1
2000_F_33993_34094_19-01-2012_1	-38.022343	145.314535	101	1.15	42000	2700	2000_F_34000_34100_07-02-2014_1	-38.022472	145.314701	100	1.275	42000	2700	86224	1716.2	75	12	750	42000	2700	0.125
2000_F_27538_27638_19-01-2012_1	-37.991959	145.256538	100	1.14	63000	6100	2000_F_27500_27600_07-02-2014_1	-37.991912	145.256469	100	1.345	63000	6100	86224	1716.2	75	12	750	63000	6100	0.205
2000_F_34296_34397_19-01-2012_1	-38.02432	145.316933	101	0.895	42000	2700	2000_F_34300_34400_07-02-2014_1	-38.024423	145.317067	100	0.93	42000	2700	86224	1716.2	75	12	750	42000	2700	0.035
2000_F_27336_27437_19-01-2012_1	-37.99082	145.254731	101	1.145	63000	6100	2000_F_27300_27400_07-02-2014_1	-37.990786	145.254688	100	1.865	63000	6100	86224	1716.2	75	12	750	63000	6100	0.72
2000_F_20073_20174_19-01-2012_1	-37.941998	145.201102	101	0.81	48000	3900	2000_F_20000_20100_07-02-2014_1	-37.941875	145.200944	100	1.015	48000	3900	86111	1517.8	75	12	750	48000	3900	0.205
2000_F_2017_2118_19-01-2012_1	-37.849552	145.048475	101	1.67	82000	7900	2000_F_2000_2100_07-02-2014_1	-37.849507	145.048394	100	1.73	77000	9200	86304	1226.9	75	12	750	79500	8550	0.0600000000000001
